ano,ton,fonte
2000,0.5,Sea Around Us
2001,1.0,Sea Around Us
2002,2.0,Sea Around Us
2003,0.5,Sea Around Us
2004,2.5,Sea Around Us
2005,9.0,Sea Around Us
2006,9.0,Sea Around Us
2007,1.5,Sea Around Us
2008,2.9545123305323697,Sea Around Us
2009,4.4090246610647394,Sea Around Us
2010,5.863536991597109,Sea Around Us
2011,7.318049322129479,Sea Around Us
2012,8.463854402601426,Sea Around Us
2013,6.698969441251879,Sea Around Us
2014,4.315004599024731,Sea Around Us
2015,3.604,Sea Around Us
2021,1.2403,PMAP-ES
2022,0.51085,PMAP-ES
2023,0.21102,PMAP-ES
