ano,ton,fonte
2000,1636.5,Sea Around Us
2001,1646.0,Sea Around Us
2002,578.0,Sea Around Us
2003,547.5,Sea Around Us
2004,620.0,Sea Around Us
2005,974.5,Sea Around Us
2006,657.0,Sea Around Us
2007,1034.5,Sea Around Us
2008,1463.8799984933194,Sea Around Us
2009,1893.2599969866387,Sea Around Us
2010,2322.639995479958,Sea Around Us
2011,2752.019993973277,Sea Around Us
2012,1559.9171294312396,Sea Around Us
2013,1978.2114769422544,Sea Around Us
2014,1622.6973074222465,Sea Around Us
2015,1496.3841546773062,Sea Around Us
2021,388.56125,PMAP-ES
2022,418.4107,PMAP-ES
2023,375.1639,PMAP-ES
