ano,area_ha
1985,4657.713595068616
1986,4698.200070257828
1987,4681.161238794201
1988,4681.032626202648
1989,4647.862673517098
1990,4631.888429333748
1991,4653.879259302016
1992,4678.323455963404
1993,4695.305653485375
1994,4768.755654278829
1995,4846.244954150669
1996,4882.437888904095
1997,4890.800155279829
1998,4879.832376776409
1999,4898.668847955607
2000,4969.005758984678
2001,4995.967695001524
2002,4994.867640277399
2003,5024.204146960757
2004,5067.55665137971
2005,5090.951183868721
2006,5111.058562018139
2007,5113.526016650704
2008,5127.757561914379
2009,5191.278169812339
2010,5205.624688617269
2011,5202.584565076008
2012,5231.516769208092
2013,5274.405621734953
2014,5285.598303131437
2015,5272.053514514493
2016,5236.792989306961
2017,5001.579874408143
2018,5015.7977898866675
2019,5033.031425067335
2020,5036.320589923296
2021,5070.636824951376
2022,5023.580980243119
2023,4998.894057879835
