Ano;Mês;Município;Pescado;Tipo de Pesca;kg no Período;nº de descargas do período;valor estimado no período
2021;3;Anchieta;Camarão-sete-barbas;Artesanal;40,00;4;R$ 0,00
2021;3;Aracruz;Camarão-sete-barbas;Artesanal;13.810,00;10;R$ 0,00
2021;3;Conceição da Barra;Camarão-sete-barbas;Artesanal;600,00;1;R$ 0,00
2021;3;Guarapari;Camarão-sete-barbas;Artesanal;77,00;3;R$ 0,00
2021;3;Linhares;Robalos;Artesanal;13,50;3;R$ 0,00
2021;3;Piúma;Camarão-sete-barbas;Artesanal;180,00;1;R$ 0,00
2021;3;São Mateus;Camarão-sete-barbas;Artesanal;1.676,00;21;R$ 0,00
2021;3;Serra;Camarão-sete-barbas;Artesanal;2,00;1;R$ 0,00
2021;3;Vitória;Camarão-sete-barbas;Artesanal;16.122,60;8;R$ 0,00
2021;4;Anchieta;Camarão-sete-barbas;Artesanal;43,00;4;R$ 0,00
2021;4;Anchieta;Siri;Artesanal;105,00;3;R$ 0,00
2021;4;Aracruz;Camarão-sete-barbas;Artesanal;2.053,00;6;R$ 0,00
2021;4;Conceição da Barra;Camarão-sete-barbas;Artesanal;78,00;1;R$ 0,00
2021;4;Guarapari;Camarão-sete-barbas;Artesanal;42,00;2;R$ 0,00
2021;4;Linhares;Camarão-sete-barbas;Artesanal;809,00;1;R$ 0,00
2021;4;Linhares;Robalos;Artesanal;411,00;23;R$ 0,00
2021;4;São Mateus;Camarão-sete-barbas;Artesanal;659,00;8;R$ 0,00
2021;4;Vitória;Camarão-sete-barbas;Artesanal;5.447,85;10;R$ 0,00
2021;5;Anchieta;Camarão-sete-barbas;Artesanal;455,00;22;R$ 0,00
2021;5;Anchieta;Siri;Artesanal;250,00;10;R$ 0,00
2021;5;Aracruz;Camarão-sete-barbas;Artesanal;1.500,00;8;R$ 0,00
2021;5;Conceição da Barra;Camarão-sete-barbas;Artesanal;2.157,00;5;R$ 0,00
2021;5;Linhares;Camarão-sete-barbas;Artesanal;647,00;1;R$ 0,00
2021;5;Linhares;Robalos;Artesanal;277,40;25;R$ 0,00
2021;5;Piúma;Camarão-sete-barbas;Artesanal;110,00;1;R$ 0,00
2021;5;São Mateus;Camarão-sete-barbas;Artesanal;1.167,00;17;R$ 0,00
2021;5;Vitória;Camarão-sete-barbas;Artesanal;17.996,50;28;R$ 0,00
2021;5;Vitória;Siri;Artesanal;60,00;1;R$ 0,00
2021;6;Anchieta;Camarão-sete-barbas;Artesanal;509,00;27;R$ 0,00
2021;6;Anchieta;Siri;Artesanal;236,00;10;R$ 0,00
2021;6;Conceição da Barra;Camarão-sete-barbas;Artesanal;460,00;3;R$ 0,00
2021;6;Linhares;Camarão-sete-barbas;Artesanal;475,00;1;R$ 0,00
2021;6;Piúma;Camarão-sete-barbas;Artesanal;230,00;4;R$ 0,00
2021;6;Piúma;Siri;Artesanal;20,00;1;R$ 0,00
2021;6;São Mateus;Camarão-sete-barbas;Artesanal;136,00;4;R$ 0,00
2021;6;Vitória;Camarão-sete-barbas;Artesanal;14.782,50;18;R$ 0,00
2021;6;Vitória;Siri;Artesanal;30,00;1;R$ 0,00
2021;7;Anchieta;Camarão-sete-barbas;Artesanal;785,00;34;R$ 0,00
2021;7;Anchieta;Siri;Artesanal;593,00;24;R$ 0,00
2021;7;Aracruz;Camarão-sete-barbas;Artesanal;220,00;1;R$ 0,00
2021;7;Colatina;Robalos;Artesanal;10,00;1;R$ 0,00
2021;7;Conceição da Barra;Camarão-sete-barbas;Artesanal;1.180,00;1;R$ 0,00
2021;7;Linhares;Camarão-sete-barbas;Artesanal;8.715,00;15;R$ 0,00
2021;7;Linhares;Robalos;Artesanal;33,50;5;R$ 0,00
2021;7;Piúma;Camarão-sete-barbas;Artesanal;97,00;1;R$ 0,00
2021;7;São Mateus;Camarão-sete-barbas;Artesanal;735,00;11;R$ 0,00
2021;7;Vitória;Camarão-sete-barbas;Artesanal;31.131,00;31;R$ 0,00
2021;7;Vitória;Robalos;Artesanal;48,00;10;R$ 0,00
2021;7;Vitória;Siri;Artesanal;55,00;1;R$ 0,00
2021;8;Anchieta;Camarão-sete-barbas;Artesanal;1.243,00;58;R$ 0,00
2021;8;Anchieta;Siri;Artesanal;1.179,00;53;R$ 0,00
2021;8;Aracruz;Camarão-sete-barbas;Artesanal;3.532,00;7;R$ 0,00
2021;8;Conceição da Barra;Camarão-sete-barbas;Artesanal;7.464,00;14;R$ 0,00
2021;8;Conceição da Barra;Robalos;Artesanal;20,60;3;R$ 0,00
2021;8;Linhares;Camarão-sete-barbas;Artesanal;17.788,00;18;R$ 0,00
2021;8;Linhares;Robalos;Artesanal;147,00;14;R$ 0,00
2021;8;São Mateus;Camarão-sete-barbas;Artesanal;2.399,00;15;R$ 0,00
2021;8;Serra;Camarão-sete-barbas;Artesanal;91,50;4;R$ 0,00
2021;8;Vitória;Camarão-sete-barbas;Artesanal;25.037,00;42;R$ 0,00
2021;8;Vitória;Siri;Artesanal;205,00;3;R$ 0,00
2021;9;Anchieta;Camarão-sete-barbas;Artesanal;537,00;29;R$ 0,00
2021;9;Anchieta;Siri;Artesanal;311,00;25;R$ 0,00
2021;9;Aracruz;Camarão-sete-barbas;Artesanal;5.808,00;7;R$ 0,00
2021;9;Colatina;Robalos;Artesanal;19,00;1;R$ 0,00
2021;9;Conceição da Barra;Camarão-sete-barbas;Artesanal;1.437,00;6;R$ 0,00
2021;9;Conceição da Barra;Robalos;Artesanal;26,00;2;R$ 0,00
2021;9;Linhares;Camarão-sete-barbas;Artesanal;14.734,00;17;R$ 0,00
2021;9;Linhares;Robalos;Artesanal;109,00;4;R$ 0,00
2021;9;São Mateus;Camarão-sete-barbas;Artesanal;1.417,00;9;R$ 0,00
2021;9;Serra;Camarão-sete-barbas;Artesanal;1.225,00;9;R$ 0,00
2021;9;Vitória;Camarão-sete-barbas;Artesanal;25.348,00;34;R$ 0,00
2021;9;Vitória;Robalos;Artesanal;82,00;7;R$ 0,00
2021;9;Vitória;Siri;Artesanal;16,00;1;R$ 0,00
2021;10;Anchieta;Camarão-sete-barbas;Artesanal;978,00;57;R$ 0,00
2021;10;Anchieta;Siri;Artesanal;240,00;29;R$ 0,00
2021;10;Aracruz;Camarão-sete-barbas;Artesanal;9.750,00;7;R$ 0,00
2021;10;Conceição da Barra;Camarão-sete-barbas;Artesanal;3.570,00;7;R$ 0,00
2021;10;Linhares;Camarão-sete-barbas;Artesanal;7.181,00;8;R$ 0,00
2021;10;Linhares;Robalos;Artesanal;12,30;2;R$ 0,00
2021;10;Linhares;Siri;Artesanal;1,00;1;R$ 0,00
2021;10;Piúma;Camarão-sete-barbas;Artesanal;13,00;1;R$ 0,00
2021;10;São Mateus;Camarão-sete-barbas;Artesanal;1.999,00;12;R$ 0,00
2021;10;Serra;Camarão-sete-barbas;Artesanal;1.225,00;22;R$ 0,00
2021;10;Vitória;Camarão-sete-barbas;Artesanal;26.316,00;42;R$ 0,00
2021;10;Vitória;Robalos;Artesanal;8,00;2;R$ 0,00
2021;11;Anchieta;Camarão-sete-barbas;Artesanal;1.098,50;52;R$ 0,00
2021;11;Anchieta;Siri;Artesanal;90,00;6;R$ 0,00
2021;11;Aracruz;Camarão-sete-barbas;Artesanal;10.470,00;7;R$ 0,00
2021;11;Aracruz;Siri;Artesanal;10,00;1;R$ 0,00
2021;11;Conceição da Barra;Camarão-sete-barbas;Artesanal;1.407,00;6;R$ 0,00
2021;11;Linhares;Camarão-sete-barbas;Artesanal;12.300,00;39;R$ 0,00
2021;11;Linhares;Robalos;Artesanal;20,00;2;R$ 0,00
2021;11;São Mateus;Camarão-sete-barbas;Artesanal;2.988,00;30;R$ 0,00
2021;11;Serra;Camarão-sete-barbas;Artesanal;1.845,80;35;R$ 0,00
2021;11;Vitória;Camarão-sete-barbas;Artesanal;48.323,00;62;R$ 0,00
2021;11;Vitória;Robalos;Artesanal;3,00;1;R$ 0,00
2021;11;Vitória;Siri;Artesanal;26,00;1;R$ 0,00
2021;12;Vitória;Camarão-sete-barbas;Artesanal;25.909,00;8;R$ 0,00
2022;1;Linhares;Robalos;Artesanal;3,00;2;R$ 0,00
2022;2;Anchieta;Robalos;Artesanal;2,00;1;R$ 0,00
2022;3;Anchieta;Camarão-sete-barbas;Artesanal;728,00;39;R$ 0,00
2022;3;Aracruz;Camarão-sete-barbas;Artesanal;3.634,00;7;R$ 0,00
2022;3;Colatina;Robalos;Artesanal;22,30;3;R$ 0,00
2022;3;Conceição da Barra;Camarão-sete-barbas;Artesanal;130,00;2;R$ 0,00
2022;3;Linhares;Camarão-sete-barbas;Artesanal;9.189,00;20;R$ 0,00
2022;3;Linhares;Robalos;Artesanal;7,50;1;R$ 0,00
2022;3;São Mateus;Camarão-sete-barbas;Artesanal;1.185,00;12;R$ 0,00
2022;3;Serra;Camarão-sete-barbas;Artesanal;642,00;3;R$ 0,00
2022;3;Vitória;Camarão-sete-barbas;Artesanal;3.195,00;4;R$ 0,00
2022;3;Vitória;Robalos;Artesanal;37,00;2;R$ 0,00
2022;4;Anchieta;Camarão-sete-barbas;Artesanal;811,50;33;R$ 0,00
2022;4;Anchieta;Siri;Artesanal;10,00;1;R$ 0,00
2022;4;Aracruz;Camarão-sete-barbas;Artesanal;3.495,00;5;R$ 0,00
2022;4;Conceição da Barra;Camarão-sete-barbas;Artesanal;65,00;2;R$ 0,00
2022;4;Conceição da Barra;Robalos;Artesanal;5,00;1;R$ 0,00
2022;4;Linhares;Camarão-sete-barbas;Artesanal;6.264,00;11;R$ 0,00
2022;4;Linhares;Robalos;Artesanal;13,00;2;R$ 0,00
2022;4;São Mateus;Camarão-sete-barbas;Artesanal;261,00;3;R$ 0,00
2022;4;Serra;Camarão-sete-barbas;Artesanal;92,80;8;R$ 0,00
2022;4;Vitória;Camarão-sete-barbas;Artesanal;21.358,00;18;R$ 0,00
2022;4;Vitória;Robalos;Artesanal;32,00;3;R$ 0,00
2022;4;Vitória;Siri;Artesanal;25,00;1;R$ 0,00
2022;5;Anchieta;Camarão-sete-barbas;Artesanal;864,00;44;R$ 0,00
2022;5;Aracruz;Camarão-sete-barbas;Artesanal;5.304,00;10;R$ 0,00
2022;5;Guarapari;Camarão-sete-barbas;Artesanal;25,00;4;R$ 0,00
2022;5;Linhares;Camarão-sete-barbas;Artesanal;5.277,00;11;R$ 0,00
2022;5;Linhares;Robalos;Artesanal;9,00;1;R$ 0,00
2022;5;São Mateus;Camarão-sete-barbas;Artesanal;616,00;5;R$ 0,00
2022;5;Serra;Camarão-sete-barbas;Artesanal;67,50;8;R$ 0,00
2022;5;Vitória;Camarão-sete-barbas;Artesanal;26.680,00;13;R$ 0,00
2022;6;Anchieta;Camarão-sete-barbas;Artesanal;1.221,00;65;R$ 0,00
2022;6;Anchieta;Siri;Artesanal;110,00;3;R$ 0,00
2022;6;Aracruz;Camarão-sete-barbas;Artesanal;6.127,00;7;R$ 0,00
2022;6;Colatina;Robalos;Artesanal;5,00;1;R$ 0,00
2022;6;Conceição da Barra;Camarão-sete-barbas;Artesanal;400,00;1;R$ 0,00
2022;6;Guarapari;Camarão-sete-barbas;Artesanal;280,00;5;R$ 0,00
2022;6;Linhares;Camarão-sete-barbas;Artesanal;10.395,00;14;R$ 0,00
2022;6;Linhares;Robalos;Artesanal;29,80;5;R$ 0,00
2022;6;Piúma;Camarão-sete-barbas;Artesanal;323,00;8;R$ 0,00
2022;6;Piúma;Siri;Artesanal;36,00;4;R$ 0,00
2022;6;São Mateus;Camarão-sete-barbas;Artesanal;1.338,00;18;R$ 0,00
2022;6;Serra;Camarão-sete-barbas;Artesanal;6,00;1;R$ 0,00
2022;6;Vitória;Camarão-sete-barbas;Artesanal;14.439,80;19;R$ 0,00
2022;6;Vitória;Siri;Artesanal;13,00;1;R$ 0,00
2022;7;Anchieta;Camarão-sete-barbas;Artesanal;3.499,50;142;R$ 0,00
2022;7;Anchieta;Siri;Artesanal;21,00;2;R$ 0,00
2022;7;Aracruz;Camarão-sete-barbas;Artesanal;10.165,00;8;R$ 0,00
2022;7;Guarapari;Camarão-sete-barbas;Artesanal;433,00;10;R$ 0,00
2022;7;Linhares;Camarão-sete-barbas;Artesanal;17.914,00;20;R$ 0,00
2022;7;Linhares;Robalos;Artesanal;84,75;6;R$ 0,00
2022;7;Piúma;Camarão-sete-barbas;Artesanal;531,00;10;R$ 0,00
2022;7;São Mateus;Camarão-sete-barbas;Artesanal;190,00;3;R$ 0,00
2022;7;Serra;Camarão-sete-barbas;Artesanal;794,00;7;R$ 0,00
2022;7;Vitória;Camarão-sete-barbas;Artesanal;31.772,00;31;R$ 0,00
2022;7;Vitória;Siri;Artesanal;21,00;1;R$ 0,00
2022;8;Anchieta;Camarão-sete-barbas;Artesanal;3.595,50;132;R$ 0,00
2022;8;Anchieta;Siri;Artesanal;27,00;2;R$ 0,00
2022;8;Aracruz;Camarão-sete-barbas;Artesanal;2.982,00;5;R$ 0,00
2022;8;Aracruz;Robalos;Artesanal;42,00;1;R$ 0,00
2022;8;Colatina;Robalos;Artesanal;6,00;1;R$ 0,00
2022;8;Conceição da Barra;Camarão-sete-barbas;Artesanal;300,00;1;R$ 0,00
2022;8;Guarapari;Camarão-sete-barbas;Artesanal;302,00;3;R$ 0,00
2022;8;Linhares;Camarão-sete-barbas;Artesanal;4.339,00;12;R$ 0,00
2022;8;Linhares;Robalos;Artesanal;87,00;4;R$ 0,00
2022;8;Piúma;Camarão-sete-barbas;Artesanal;902,00;13;R$ 0,00
2022;8;São Mateus;Camarão-sete-barbas;Artesanal;1.904,00;16;R$ 0,00
2022;8;Serra;Camarão-sete-barbas;Artesanal;40,00;1;R$ 0,00
2022;8;Vitória;Camarão-sete-barbas;Artesanal;57.891,00;40;R$ 0,00
2022;8;Vitória;Robalos;Artesanal;108,00;5;R$ 0,00
2022;9;Anchieta;Camarão-sete-barbas;Artesanal;1.773,50;107;R$ 0,00
2022;9;Anchieta;Robalos;Artesanal;2,30;1;R$ 0,00
2022;9;Aracruz;Camarão-sete-barbas;Artesanal;15.960,00;7;R$ 0,00
2022;9;Conceição da Barra;Camarão-sete-barbas;Artesanal;5.778,00;21;R$ 0,00
2022;9;Guarapari;Camarão-sete-barbas;Artesanal;388,00;7;R$ 0,00
2022;9;Linhares;Camarão-sete-barbas;Artesanal;15.835,00;27;R$ 0,00
2022;9;Linhares;Robalos;Artesanal;4,00;1;R$ 0,00
2022;9;São Mateus;Camarão-sete-barbas;Artesanal;2.745,00;17;R$ 0,00
2022;9;Serra;Camarão-sete-barbas;Artesanal;610,00;12;R$ 0,00
2022;9;Vitória;Camarão-sete-barbas;Artesanal;22.611,00;34;R$ 0,00
2022;9;Vitória;Siri;Artesanal;141,00;3;R$ 0,00
2022;10;Anchieta;Camarão-sete-barbas;Artesanal;1.210,60;100;R$ 0,00
2022;10;Aracruz;Camarão-sete-barbas;Artesanal;6.600,00;2;R$ 0,00
2022;10;Conceição da Barra;Camarão-sete-barbas;Artesanal;4.009,00;20;R$ 0,00
2022;10;Guarapari;Camarão-sete-barbas;Artesanal;5,00;1;R$ 0,00
2022;10;Linhares;Camarão-sete-barbas;Artesanal;7.990,00;9;R$ 0,00
2022;10;Piúma;Camarão-sete-barbas;Artesanal;85,00;2;R$ 0,00
2022;10;Serra;Camarão-sete-barbas;Artesanal;135,00;7;R$ 0,00
2022;10;Vitória;Camarão-sete-barbas;Artesanal;40.050,00;28;R$ 0,00
2022;10;Vitória;Siri;Artesanal;7,00;1;R$ 0,00
2022;11;Anchieta;Camarão-sete-barbas;Artesanal;1.470,00;87;R$ 0,00
2022;11;Anchieta;Robalos;Artesanal;8,20;2;R$ 0,00
2022;11;Anchieta;Siri;Artesanal;11,00;1;R$ 0,00
2022;11;Aracruz;Camarão-sete-barbas;Artesanal;731,00;3;R$ 0,00
2022;11;Conceição da Barra;Camarão-sete-barbas;Artesanal;8.144,00;22;R$ 0,00
2022;11;Guarapari;Camarão-sete-barbas;Artesanal;63,00;3;R$ 0,00
2022;11;Linhares;Camarão-sete-barbas;Artesanal;4.290,00;6;R$ 0,00
2022;11;São Mateus;Camarão-sete-barbas;Artesanal;387,00;6;R$ 0,00
2022;11;Serra;Camarão-sete-barbas;Artesanal;41,50;4;R$ 0,00
2022;11;Vitória;Camarão-sete-barbas;Artesanal;15.529,00;22;R$ 0,00
2022;12;Anchieta;Robalos;Artesanal;3,00;1;R$ 0,00
2022;12;Guarapari;Camarão-sete-barbas;Artesanal;2,50;1;R$ 0,00
2023;2;Colatina;Robalos;Artesanal;1,20;1;R$ 0,00
2023;2;Linhares;Robalos;Artesanal;1,00;1;R$ 0,00
2023;2;Linhares;Siri;Artesanal;1,00;1;R$ 0,00
2023;3;Anchieta;Camarão-sete-barbas;Artesanal;1.199,30;104;R$ 0,00
2023;3;Aracruz;Camarão-sete-barbas;Artesanal;1.660,00;1;R$ 0,00
2023;3;Conceição da Barra;Camarão-sete-barbas;Artesanal;7.768,00;15;R$ 0,00
2023;3;Guarapari;Camarão-sete-barbas;Artesanal;98,00;3;R$ 0,00
2023;3;Linhares;Camarão-sete-barbas;Artesanal;16.383,00;18;R$ 0,00
2023;3;Linhares;Robalos;Artesanal;11,00;1;R$ 0,00
2023;3;Piúma;Camarão-sete-barbas;Artesanal;13,00;2;R$ 0,00
2023;3;São Mateus;Camarão-sete-barbas;Artesanal;4.172,00;38;R$ 0,00
2023;3;Serra;Camarão-sete-barbas;Artesanal;261,00;3;R$ 0,00
2023;3;Vitória;Camarão-sete-barbas;Artesanal;9.997,00;7;R$ 0,00
2023;4;Anchieta;Camarão-sete-barbas;Artesanal;691,50;78;R$ 0,00
2023;4;Anchieta;Siri;Artesanal;436,00;10;R$ 0,00
2023;4;Aracruz;Camarão-sete-barbas;Artesanal;2.084,00;7;R$ 0,00
2023;4;Conceição da Barra;Camarão-sete-barbas;Artesanal;1.510,00;5;R$ 0,00
2023;4;Guarapari;Camarão-sete-barbas;Artesanal;82,00;2;R$ 0,00
2023;4;Linhares;Camarão-sete-barbas;Artesanal;5.163,00;10;R$ 0,00
2023;4;Linhares;Robalos;Artesanal;3,00;1;R$ 0,00
2023;4;Piúma;Camarão-sete-barbas;Artesanal;20,00;1;R$ 0,00
2023;4;São Mateus;Camarão-sete-barbas;Artesanal;521,00;7;R$ 0,00
2023;4;Serra;Camarão-sete-barbas;Artesanal;1.288,00;4;R$ 0,00
2023;4;Vitória;Camarão-sete-barbas;Artesanal;3.453,50;19;R$ 0,00
2023;4;Vitória;Robalos;Artesanal;2,00;1;R$ 0,00
2023;5;Anchieta;Camarão-sete-barbas;Artesanal;1.217,00;106;R$ 0,00
2023;5;Anchieta;Siri;Artesanal;396,00;15;R$ 0,00
2023;5;Aracruz;Camarão-sete-barbas;Artesanal;5.568,00;10;R$ 0,00
2023;5;Conceição da Barra;Camarão-sete-barbas;Artesanal;1.444,00;6;R$ 0,00
2023;5;Linhares;Camarão-sete-barbas;Artesanal;6.767,00;16;R$ 0,00
2023;5;Piúma;Camarão-sete-barbas;Artesanal;161,00;2;R$ 0,00
2023;5;São Mateus;Camarão-sete-barbas;Artesanal;867,00;9;R$ 0,00
2023;5;Serra;Camarão-sete-barbas;Artesanal;551,50;8;R$ 0,00
2023;5;Vitória;Camarão-sete-barbas;Artesanal;8.830,00;17;R$ 0,00
2023;5;Vitória;Siri;Artesanal;13,00;1;R$ 0,00
2023;6;Anchieta;Camarão-sete-barbas;Artesanal;2.581,50;137;R$ 0,00
2023;6;Anchieta;Siri;Artesanal;228,00;6;R$ 0,00
2023;6;Aracruz;Camarão-sete-barbas;Artesanal;10.411,00;18;R$ 0,00
2023;6;Conceição da Barra;Camarão-sete-barbas;Artesanal;6.460,00;6;R$ 0,00
